route_short_name,terminal_ida,lat_ida,lon_ida,terminal_volta,lat_volta,lon_volta
006,Ponto Final: Silvestre,-22.945657,-43.207678,Ponto Regulador: Castelo :: Linha 006,-22.908830,-43.174770
007,Ponto Final: Silvestre,-22.945657,-43.207678,Terminal Procópio Ferreira :: Plat. Norte,-22.904565,-43.191892
010,Ponto Final: Bairro de Fátima :: Nossa Senhora de Fátima,-22.916980,-43.188230,,,
10,Santa Cruz,-22.916685,-43.683705,Terminal Alvorada :: Plataforma A19,-23.001118,-43.367816
100,Ponto Final: Metrô General Osório :: Rua Visconde de Pirajá,-22.984747,-43.197457,Terminal Procópio Ferreira :: Plat. Norte,-22.904565,-43.191892
104,Ponto Final: São Conrado,-22.998852,-43.270560,Terminal Gentileza :: Plataforma B4,-22.899158,-43.211514
107,Terminal Procópio Ferreira :: Plat. Central,-22.904898,-43.192358,Ponto Regulador: Urca :: Linha 107,-22.943340,-43.160810
11,Santa Cruz,-22.916685,-43.683705,Terminal Alvorada :: Plataforma A16,-23.001109,-43.367264
117,Terminal Procópio Ferreira :: Plat. Sul,-22.904988,-43.192317,Terminal do Cosme Velho :: Plataforma A,-22.939810,-43.199760
12,Terminal Pingo d'Água,-22.965404,-43.646949,Terminal Alvorada :: Plataforma A14,-23.001097,-43.366824
13,Mato Alto,-22.994070,-43.596530,Terminal Alvorada :: Plataforma A12,-23.001088,-43.366492
133,Ponto Final: Metrô Largo do Machado,-22.930967,-43.178270,Terminal Gentileza :: Plataforma B12,-22.899904,-43.210618
14,Santa Eugênia,-22.916824,-43.633009,Terminal Paralímpico Recreio :: Plataforma A,-23.008509,-43.440389
15,Terminal Curral Falso :: Linha 15,-22.936660,-43.667766,Terminal Alvorada :: Plataforma A16,-23.001109,-43.367264
16,Magarça,-22.968690,-43.622000,Terminal Alvorada :: Plataforma A12,-23.001088,-43.366492
161,Terminal Gentileza :: Plataforma B3,-22.899015,-43.211691,,,
165,Terminal Gentileza :: Plataforma A12,-22.900080,-43.210672,Terminal do Cosme Velho :: Plataforma A,-22.939810,-43.199760
167,Terminal Gentileza :: Plataforma B10,-22.899744,-43.210824,Ponto Regulador: Urca :: Linha 107,-22.943340,-43.160810
169,Terminal Gentileza :: Plataforma A8,-22.899543,-43.211313,Ponto Final: Metrô General Osório :: Rua Visconde de Pirajá,-22.984747,-43.197457
17,Campo Grande,-22.901810,-43.554770,Santa Cruz,-22.917540,-43.683400
18,Pontal,-23.016364,-43.515884,Terminal Jardim Oceânico :: Plataforma A,-23.006600,-43.312580
19,Terminal Pingo d'Água,-22.965404,-43.646949,Salvador Allende,-23.008120,-43.442290
20,Santa Cruz,-22.916685,-43.683705,Salvador Allende,-23.008330,-43.443130
201,Ponto Final: Santa Alexandrina :: 201,-22.934843,-43.209949,Debret,-22.907320,-43.173960
202,Ponto Final: Rio Comprido :: Sampaio Viana,-22.923710,-43.212310,Ponto Regulador: Castelo :: Linhas Área Central,-22.908248,-43.170956
209,Igreja Nossa Senhora da Candelária,-22.900515,-43.177892,Ponto Final: Caju :: General Sampaio,-22.877428,-43.216143
210,Ponto Final: Caju :: General Sampaio,-22.877428,-43.216143,Igreja Nossa Senhora da Candelária,-22.900515,-43.177892
2110,Terminal Arquiteto Julius Sass :: Plataforma B,-22.958240,-43.352160,Castelo :: Linha 2110,-22.904840,-43.175770
2111,Ponto Final: Praça Seca :: Baronesa (Ônibus Executivo),-22.900560,-43.346937,Ponto Final: Castelo :: Linha 2111,-22.904630,-43.175430
2112,Ponto Final: Taquara (Praça Nidia Otero),-22.914620,-43.381070,"BRS 1,2,3,4,5,I: Graça Aranha",-22.906503,-43.175810
2114,Ponto Final: Pechincha :: Capenha,-22.932360,-43.349290,Ponto Final: Castelo :: Linha 2114,-22.904410,-43.175050
217,Ponto Final: Andaraí :: Leopoldo,-22.930780,-43.254158,Terminal Jamil Amiden :: Linhas 217 e 249,-22.908810,-43.179380
22,Terminal Alvorada :: Plataforma A10,-23.001087,-43.366157,Terminal Jardim Oceânico :: Plataforma A,-23.006600,-43.312580
220,Terminal Prof. Carlos Manes Bandeira (Usina) :: Plat. B,-22.946307,-43.256828,Igreja Nossa Senhora da Candelária,-22.900515,-43.177892
229,Terminal Prof. Carlos Manes Bandeira (Usina) :: Plat. A,-22.946292,-43.256964,Terminal Jamil Amiden :: Linha 229,-22.908370,-43.178130
2303,Cesarão :: Linha 2303,-22.937460,-43.655270,Terminal Jamil Amiden :: Ônibus Executivos,-22.909170,-43.180480
2305,Ponto Final: Jardim América :: Linhas para o Centro,-22.810677,-43.329519,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
2307,Aporuna,-22.946110,-43.639910,Terminal Jamil Amiden :: Ônibus Executivos,-22.909170,-43.180480
2308,Ponto Final: Cosmos :: Praça Igara,-22.911887,-43.614456,Terminal Jamil Amiden :: Ônibus Executivos,-22.909170,-43.180480
2309,Ponto Final: Urucânia :: Rua Cilon Cunha Brum (Linha 2309),-22.913049,-43.656131,Terminal Jamil Amiden :: Ônibus Executivos,-22.909170,-43.180480
2310,Ponto Final: Bangu :: Jardim Violeta (Rua Claudino Pinheiro),-22.897450,-43.486890,"Ponto Final: Candelária :: Linhas 393, 2310, SN388 e SR393",-22.901639,-43.181276
232,Ponto Final: Engenho de Dentro :: Intendente Cunha Menezes,-22.900769,-43.290262,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
2334,Terminal Rodoviário de Campo Grande :: Plat. D.,-22.902140,-43.555160,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2335,Terminal Rodoviário Urbano Álvaro Alberto,-22.915100,-43.682750,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2336,Ponto Final: Campo Grande :: Linhas Executivas,-22.901720,-43.558160,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2337,Largo do Bodegão,-22.926480,-43.690912,Terminal Rodoviário Menezes Cortes :: Plat. A,-22.905313,-43.174898
2338,Terminal Rodoviário de Campo Grande :: Plat. D.,-22.902140,-43.555160,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2339,Ponto Final: West Shopping,-22.885856,-43.556815,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2342,Ponto Final: Bananal :: Linhas para o Centro,-22.789137,-43.161960,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador),-22.907050,-43.174040
2343,Terminal da Ribeira :: Plataforma C,-22.825494,-43.169325,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador),-22.907050,-43.174040
2344,Ponto Final: Bancários :: Dr. Agenor de Almeida Loyola,-22.790617,-43.180957,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador),-22.907050,-43.174040
2345,Ponto Final: Vila Valqueire :: Praça Saiqui (Ônibus Executivos),-22.883060,-43.368010,Terminal Rodoviário Menezes Cortes :: Plat. A,-22.905313,-43.174898
238,Ponto Final: Água Santa :: Joaquim Martins,-22.898888,-43.313189,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
2381,Ponto Final: Pedra de Guaratiba :: Estrada da Matriz,-23.000080,-43.633120,Terminal Rodoviário Menezes Cortes :: Plat. B,-22.905406,-43.174822
2383,Ponto Final: Sepetiba :: Linha 2383,-22.987252,-43.688406,Terminal Jamil Amiden :: Ônibus Executivos,-22.909170,-43.180480
239,Ponto Final: Água Santa :: Garcia Vasques,-22.901831,-43.314256,Ponto Final: Passeio :: Linhas 239 e 247,-22.912390,-43.176520
247,Ponto Final: Camarista Méier,-22.914455,-43.298269,Ponto Final: Passeio :: Linhas 239 e 247,-22.912390,-43.176520
249,Ponto Final: Água Santa :: Fagundes Varela,-22.897637,-43.312680,Terminal Jamil Amiden :: Linhas 217 e 249,-22.908810,-43.179380
25,Mato Alto,-22.993580,-43.597119,Terminal Alvorada :: Plataforma A16,-23.001109,-43.367264
254,Ponto Final: Madureira :: Rua Antônio de Abreu,-22.869370,-43.341270,Ponto Final: Candelária :: Linhas para Zona Norte,-22.902005,-43.180841
2613,Ponto Final: Riocentro,-22.976090,-43.413840,Ponto Final: Del Castilho :: Linhas para Zona Oeste,-22.878735,-43.272276
2614,Terminal Alvorada :: Plataforma D16,-23.001571,-43.365648,Ponto Final: Del Castilho :: Linhas para Zona Oeste,-22.878735,-43.272276
265,Ponto Final: Marechal Hermes :: Sirici,-22.857105,-43.366164,Ponto Regulador: Castelo :: Linha 265,-22.908115,-43.170819
275,Terminal Rodoviário Américo Ayres :: Plat. C,-22.901989,-43.275370,Igreja Nossa Senhora da Candelária,-22.900515,-43.177892
277,Ponto Final: Rocha Miranda :: Jundiá,-22.860045,-43.354844,Ponto Final: Candelária :: Linhas para Zona Norte,-22.902005,-43.180841
28,Terminal Pingo d'Água :: Linha 28,-22.965412,-43.647622,Terminal Curral Falso :: Linha 28,-22.936781,-43.667401
2802,Ponto Final: São Fernando,-22.889850,-43.717440,Terminal Nuta James,-23.005478,-43.312534
2803,Ponto Final: Vila Kennedy :: Mato Alto e Barra da Tijuca,-22.856220,-43.493020,"Ponto Final: Barra da Tijuca :: Linhas 2801, 2803 e 2804",-23.007657,-43.303874
2804,Ponto Final: Bangu :: Linhas Executivas,-22.876670,-43.463610,"Ponto Final: Barra da Tijuca :: Linhas 2801, 2803 e 2804",-23.007657,-43.303874
292,Ponto Final: Engenho da Rainha :: Adhemar Bebiano,-22.865404,-43.299333,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
296,Ponto Final: Irajá :: Praça Itala Fernandes,-22.824464,-43.329353,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
298,Ponto Final: Acari :: Pedro Jório,-22.830754,-43.353504,Terminal Churchill :: Plataforma Sul,-22.908986,-43.170703
300,Terminal Sulacap :: Plataforma A (Ônibus Convencionais),-22.884560,-43.399540,Ponto Final: Candelária :: Linhas para Zona Oeste,-22.901611,-43.179679
301,Terminal Gentileza :: Plataforma A9,-22.899643,-43.211189,Terminal Alvorada :: Plataforma D13,-23.001565,-43.365441
302,Terminal Gentileza :: Plataforma A10,-22.899788,-43.211015,Terminal Alvorada :: Plataforma D7,-23.001558,-43.365079
306,Praça Seca :: Linhas para o Castelo,-22.900065,-43.347602,Ponto Final: Castelo :: Linha 306,-22.905070,-43.176170
31,Vicente de Carvalho,-22.852810,-43.313020,Terminal Alvorada :: Plataforma B3,-23.001306,-43.364808
